model	class	correct	TP	FP	TN	FN	diso_correct	diso_TP	diso_FP	diso_TN	diso_FN	Precision	Recall	Neg_Precision	Neg_Recall	Balanced Acc.	F1	MCC	D Precision	D Recall	D Neg_Precision	D Neg_Recall	D Balanced Acc.	D F1	D MCC	SE_Precision	SE_Recall	SE_Neg_Precision	SE_Neg_Recall	SE_Balanced Acc.	SE_F1	SE_MCC	SE_D Precision	SE_D Recall	SE_D Neg_Precision	SE_D Neg_Recall	SE_D Balanced Acc.	SE_D F1	SE_D MCC	
mobidb_D_CNN_0_lr0005	-	106349.0	46435.0	50729.0	59914.0	19577.0	106349.0	46435.0	50729.0	59914.0	19577.0	0.4779033386851097	0.703432709204387	0.7537205469801612	0.5415073705521362	0.6224700398782617	0.5691400696180811	0.2381889439675303	0.4779033386851097	0.703432709204387	0.7537205469801612	0.5415073705521362	0.6224700398782617	0.5691400696180811	0.2381889439675303	0.00530254720877546	0.011470668629411512	0.010837832182517382	0.008083499533584948	0.010024845600487664	0.009423328288217903	0.01877958266333843	0.00530254720877546	0.011470668629411512	0.010837832182517382	0.008083499533584948	0.010024845600487664	0.009423328288217903	0.01877958266333843	
mobidb_D_CNN_0_lr001	-	109388.0	42809.0	44064.0	66579.0	23203.0	109388.0	42809.0	44064.0	66579.0	23203.0	0.49277681212804897	0.6485033024298612	0.7415628967944576	0.6017461565575771	0.6251247294937192	0.5600156980737155	0.24216396382850003	0.49277681212804897	0.6485033024298612	0.7415628967944576	0.6017461565575771	0.6251247294937192	0.5600156980737155	0.24216396382850003	0.005041928284395841	0.010241048879097159	0.010120665803651951	0.00849921828153885	0.009149764344171682	0.009824454712677483	0.01892324383027061	0.005041928284395841	0.010241048879097159	0.010120665803651951	0.00849921828153885	0.009149764344171682	0.009824454712677483	0.01892324383027061	
mobidb_D_CNN_0_d3	-	97592.0	37057.0	50108.0	60535.0	28955.0	97592.0	37057.0	50108.0	60535.0	28955.0	0.4251362358744909	0.5613676301278555	0.6764442954520058	0.5471200166300625	0.554243823378959	0.48384548594110083	0.1049772965932663	0.4251362358744909	0.5613676301278555	0.6764442954520058	0.5471200166300625	0.554243823378959	0.48384548594110083	0.1049772965932663	0.007303556954112389	0.00751418729839104	0.010751666616694855	0.006521694213512563	0.009087951220200147	0.009723805832447557	0.021522110197237293	0.007303556954112389	0.00751418729839104	0.010751666616694855	0.006521694213512563	0.009087951220200147	0.009723805832447557	0.021522110197237293	
mobidb_D_CNN_0_k3	-	109659.0	43188.0	44172.0	66471.0	22824.0	109659.0	43188.0	44172.0	66471.0	22824.0	0.4943681318681319	0.6542446827849482	0.7443977826306064	0.6007700441961986	0.6275073634905735	0.5631797198967218	0.24675660983710157	0.4943681318681319	0.6542446827849482	0.7443977826306064	0.6007700441961986	0.6275073634905735	0.5631797198967218	0.24675660983710157	0.0052328918657746915	0.00988467862274145	0.009444534531173221	0.008664173311963091	0.008667126049251878	0.00922165946120787	0.017494091274020906	0.0052328918657746915	0.00988467862274145	0.009444534531173221	0.008664173311963091	0.008667126049251878	0.00922165946120787	0.017494091274020906	
mobidb_D_CNN_0_k7	-	104662.0	43471.0	49452.0	61191.0	22541.0	104662.0	43471.0	49452.0	61191.0	22541.0	0.46781744024622535	0.6585317821002242	0.7307958725457412	0.5530489954176947	0.6057903887589595	0.5470286595148961	0.2049945344294182	0.46781744024622535	0.6585317821002242	0.7307958725457412	0.5530489954176947	0.6057903887589595	0.5470286595148961	0.2049945344294182	0.00631230804910396	0.009836141122681136	0.01084952552735402	0.007367579711842265	0.008667387911177188	0.011393967273192585	0.018234154257396523	0.00631230804910396	0.009836141122681136	0.01084952552735402	0.007367579711842265	0.008667387911177188	0.011393967273192585	0.018234154257396523	
mobidb_D_CNN_0_l8	-	93284.0	50789.0	68148.0	42495.0	15223.0	93284.0	50789.0	68148.0	42495.0	15223.0	0.42702439106417683	0.7693904138641459	0.7362521223881632	0.38407309997017436	0.5767317569171602	0.5492216773272632	0.15829399066614233	0.42702439106417683	0.7693904138641459	0.7362521223881632	0.38407309997017436	0.5767317569171602	0.5492216773272632	0.15829399066614233	0.006575552388016936	0.013078686676881418	0.01099211588605059	0.007365117180098746	0.009873459726739045	0.009488149353954894	0.02018119745187963	0.006575552388016936	0.013078686676881418	0.01099211588605059	0.007365117180098746	0.009873459726739045	0.009488149353954894	0.02018119745187963	
mobidb_D_CNN_1	-	99146.0	40138.0	51635.0	59008.0	25874.0	99146.0	40138.0	51635.0	59008.0	25874.0	0.4373617512776089	0.608040962249288	0.6951768337221084	0.5333188724094611	0.5706799173293746	0.5087682606077892	0.13687816648927098	0.4373617512776089	0.608040962249288	0.6951768337221084	0.5333188724094611	0.5706799173293746	0.5087682606077892	0.13687816648927098	0.005791836822438806	0.008635926388801923	0.0094760700460296	0.0072823758281385376	0.009061968332240586	0.008412664298379363	0.017144004344924024	0.005791836822438806	0.008635926388801923	0.0094760700460296	0.0072823758281385376	0.009061968332240586	0.008412664298379363	0.017144004344924024	
mobidb_D_CNN_2	-	93712.0	49780.0	66711.0	43932.0	16232.0	93712.0	49780.0	66711.0	43932.0	16232.0	0.4273291498914079	0.7541053141852997	0.7302041087693637	0.3970608172229603	0.57558306570413	0.545525279036509	0.15431685999878825	0.4273291498914079	0.7541053141852997	0.7302041087693637	0.3970608172229603	0.57558306570413	0.545525279036509	0.15431685999878825	0.006279689796169302	0.01216130727376119	0.010637928277986236	0.007537473184604515	0.009861327112859308	0.00887519788828231	0.019463617883830747	0.006279689796169302	0.01216130727376119	0.010637928277986236	0.007537473184604515	0.009861327112859308	0.00887519788828231	0.019463617883830747	
mobidb_D_FNN_0	-	99076.0	49440.0	64871.0	49636.0	17607.0	99076.0	49440.0	64871.0	49636.0	17607.0	0.4325043084217617	0.7373931719540024	0.7381586187409842	0.433475682709354	0.5854344273316783	0.545219951697747	0.17076585987191414	0.4325043084217617	0.7373931719540024	0.7381586187409842	0.433475682709354	0.5854344273316783	0.545219951697747	0.17076585987191414	0.006608389327588726	0.011172713459347922	0.009354710493187868	0.007110950528060628	0.009052891817879674	0.008948301234086464	0.01656915437551884	0.006608389327588726	0.011172713459347922	0.009354710493187868	0.007110950528060628	0.009052891817879674	0.008948301234086464	0.01656915437551884	
mobidb_D_FNN_2	-	105091.0	48201.0	57617.0	56890.0	18846.0	105091.0	48201.0	57617.0	56890.0	18846.0	0.4555085146194409	0.7189135979238445	0.7511619309179254	0.4968255215838333	0.6078695597538388	0.5576721719260694	0.2111561032707577	0.4555085146194409	0.7189135979238445	0.7511619309179254	0.4968255215838333	0.6078695597538388	0.5576721719260694	0.2111561032707577	0.006101537423351289	0.010240106046483788	0.00939167661057827	0.007176166075881674	0.009387800393005352	0.00856442348204392	0.01700974605981656	0.006101537423351289	0.010240106046483788	0.00939167661057827	0.007176166075881674	0.009387800393005352	0.00856442348204392	0.01700974605981656	
mobidb_D_FNN_3	-	98073.0	44665.0	61099.0	53408.0	22382.0	98073.0	44665.0	61099.0	53408.0	22382.0	0.42230815778525777	0.6661744746222799	0.704683995250033	0.46641690027683896	0.5662956874495594	0.5169231125333457	0.12976156662258861	0.42230815778525777	0.6661744746222799	0.704683995250033	0.46641690027683896	0.5662956874495594	0.5169231125333457	0.12976156662258861	0.007801337428189309	0.011146276585144332	0.009131962251019032	0.0072957441826119185	0.009483884515288865	0.009707892793999973	0.01989327664089252	0.007801337428189309	0.011146276585144332	0.009131962251019032	0.0072957441826119185	0.009483884515288865	0.009707892793999973	0.01989327664089252	
mobidb_D_FNN_4	-	91255.0	56302.0	79554.0	34953.0	10745.0	91255.0	56302.0	79554.0	34953.0	10745.0	0.4144240961017548	0.8397392873655793	0.7648693597093965	0.3052477141135476	0.5724935007395635	0.5549646875600657	0.16123033381745874	0.4144240961017548	0.8397392873655793	0.7648693597093965	0.3052477141135476	0.5724935007395635	0.5549646875600657	0.16123033381745874	0.00667430349842682	0.015322889001459533	0.012990286346659413	0.008521798483570042	0.00890419187787743	0.008853562137686538	0.018805300953076892	0.00667430349842682	0.015322889001459533	0.012990286346659413	0.008521798483570042	0.00890419187787743	0.008853562137686538	0.018805300953076892	
AAindex_baseline	-	83150.0	50058.0	77571.0	33092.0	15681.0	83150.0	50058.0	77571.0	33092.0	15681.0	0.3922149354770468	0.7614657965591202	0.6784901482377544	0.29903400413869136	0.5302499003489057	0.5177485416408093	0.06540369617282767	0.3922149354770468	0.7614657965591202	0.6784901482377544	0.29903400413869136	0.5302499003489057	0.5177485416408093	0.06540369617282767	0.007214085396494402	0.01226519264187978	0.007743152374372092	0.009178355148153447	0.00939241626238281	0.008286103216813251	0.0152831623494952	0.007214085396494402	0.01226519264187978	0.007743152374372092	0.009178355148153447	0.00939241626238281	0.008286103216813251	0.0152831623494952	
AAindex_D_baseline	-	79375.0	59993.0	91261.0	19382.0	6019.0	79375.0	59993.0	91261.0	19382.0	6019.0	0.3966374442989937	0.9088196085560201	0.7630408251643636	0.17517601655775783	0.541997812556889	0.5522539191590032	0.1158113813951849	0.3966374442989937	0.9088196085560201	0.7630408251643636	0.17517601655775783	0.541997812556889	0.5522539191590032	0.1158113813951849	0.006873939379500982	0.016795476158556866	0.011856072805831952	0.01053827201423052	0.00979806756574042	0.00958193431127427	0.014085278414055324	0.006873939379500982	0.016795476158556866	0.011856072805831952	0.01053827201423052	0.00979806756574042	0.00958193431127427	0.014085278414055324	
random_binary	-	108519.0	3948.0	6699.0	104571.0	62147.0	108519.0	3948.0	6699.0	104571.0	62147.0	0.3708086785009862	0.05973220364626674	0.6272328122938136	0.9397950930169857	0.49976364833162623	0.10289020353913113	-0.0009621818104438366	0.3708086785009862	0.05973220364626674	0.6272328122938136	0.9397950930169857	0.49976364833162623	0.10289020353913113	-0.0009621818104438366	0.0078288309977248	0.004905764029888668	0.0073999441589503445	0.00402125460124236	0.0033031867406166787	0.00253182031942804	0.004765829962824854	0.0078288309977248	0.004905764029888668	0.0073999441589503445	0.00402125460124236	0.0033031867406166787	0.00253182031942804	0.004765829962824854	
random_D_only	-	96868.0	24755.0	42394.0	72113.0	42292.0	96868.0	24755.0	42394.0	72113.0	42292.0	0.3686577610984527	0.3692186078422599	0.630330842183471	0.6297693590784843	0.4994939834603721	0.3689379713255239	-0.0010117148486327456	0.3686577610984527	0.3692186078422599	0.630330842183471	0.6297693590784843	0.4994939834603721	0.3689379713255239	-0.0010117148486327456	0.007845978489829958	0.008519986789335535	0.007714831097095448	0.006443452887220938	0.00501043712329062	0.005516039015782043	0.0046981737655377165	0.007845978489829958	0.008519986789335535	0.007714831097095448	0.006443452887220938	0.00501043712329062	0.005516039015782043	0.0046981737655377165	
